[2026-08-05T07:56:38.372Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → 200 (120ms, 31559B)
[2026-08-05T07:56:42.480Z] GET http://localhost:5173/n0va1o/sdk → 200 (6ms, ?B)
[2026-08-05T07:56:42.492Z] GET http://localhost:5173/@vite/client → 200 (4ms, ?B)
[2026-08-05T07:56:42.492Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700;800&family=JetBrains+Mono:wght@400;500&display=swap → 200 (1ms, -743B)
[2026-08-05T07:56:42.493Z] GET http://localhost:5173/src/main.tsx?t=1785915814806 → 200 (3ms, ?B)
[2026-08-05T07:56:42.494Z] GET http://localhost:5173/@react-refresh → 200 (7ms, ?B)
[2026-08-05T07:56:42.496Z] GET http://localhost:5173/@fs/C:/Users/hvipa/Downloads/New%20NOVA/starone/n0va/node_modules/vite/dist/client/env.mjs → 200 (5ms, ?B)
[2026-08-05T07:56:42.496Z] GET http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=ac879b7e → 200 (?ms, -310B)
[2026-08-05T07:56:42.496Z] GET http://localhost:5173/node_modules/.vite/deps/react.js?v=ac879b7e → 200 (?ms, -306B)
[2026-08-05T07:56:42.497Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=1688b297 → 200 (2ms, -308B)
[2026-08-05T07:56:42.499Z] GET http://localhost:5173/node_modules/.vite/deps/react-router-dom.js?v=dab0c3d9 → 200 (?ms, -312B)
[2026-08-05T07:56:42.499Z] GET http://localhost:5173/src/App.tsx?t=1785915814806 → 200 (3ms, ?B)
[2026-08-05T07:56:42.499Z] GET http://localhost:5173/src/index.css?t=1785915814806 → 200 (2ms, ?B)
[2026-08-05T07:56:42.499Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-PZHMDCWN.js?v=3cf7fa7e → 200 (?ms, -311B)
[2026-08-05T07:56:42.500Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-G3PMV62Z.js?v=3cf7fa7e → 200 (?ms, -308B)
[2026-08-05T07:56:42.500Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-WNHV52DQ.js?v=3cf7fa7e → 200 (?ms, -312B)
[2026-08-05T07:56:42.502Z] GET http://localhost:5173/src/components/Toast.tsx → 200 (4ms, ?B)
[2026-08-05T07:56:42.502Z] GET http://localhost:5173/src/components/Layout.tsx?t=1785915248872 → 200 (5ms, ?B)
[2026-08-05T07:56:42.503Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (2ms, -815B)
[2026-08-05T07:56:42.505Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → 200 (?ms, -815B)
[2026-08-05T07:56:42.507Z] GET http://localhost:5173/node_modules/.vite/deps/lucide-react.js?v=37a1c64f → 200 (?ms, -314B)
[2026-08-05T07:56:42.507Z] GET http://localhost:5173/src/components/Sidebar.tsx?t=1785915248872 → 200 (3ms, ?B)
[2026-08-05T07:56:42.507Z] GET http://localhost:5173/src/components/CommandPalette.tsx?t=1785915248872 → 200 (5ms, ?B)
[2026-08-05T07:56:42.507Z] GET http://localhost:5173/src/components/QuickActions.tsx → 200 (7ms, ?B)
[2026-08-05T07:56:42.507Z] GET http://localhost:5173/src/components/AIAssistant.tsx?t=1785915248872 → 200 (7ms, ?B)
[2026-08-05T07:56:42.507Z] GET http://localhost:5173/src/components/HelpDialog.tsx?t=1785915248872 → 200 (8ms, ?B)
[2026-08-05T07:56:42.507Z] GET http://localhost:5173/src/components/MobileNav.tsx → 200 (7ms, ?B)
